Gene.ID,Cluster
HORVU.MOREX.r3.1HG0058340,Cluster 2
HORVU.MOREX.r3.1HG0058510,Cluster 2
HORVU.MOREX.r3.1HG0058550,Cluster 2
HORVU.MOREX.r3.1HG0059350,Cluster 2
HORVU.MOREX.r3.1HG0059360,Cluster 2
HORVU.MOREX.r3.1HG0059440,Cluster 2
HORVU.MOREX.r3.1HG0059670,Cluster 2
HORVU.MOREX.r3.1HG0060140,Cluster 2
HORVU.MOREX.r3.1HG0060240,Cluster 2
HORVU.MOREX.r3.1HG0060410,Cluster 2
HORVU.MOREX.r3.1HG0061370,Cluster 2
HORVU.MOREX.r3.1HG0061420,Cluster 2
HORVU.MOREX.r3.1HG0061670,Cluster 2
HORVU.MOREX.r3.1HG0061750,Cluster 2
HORVU.MOREX.r3.1HG0062110,Cluster 2
HORVU.MOREX.r3.1HG0062130,Cluster 2
HORVU.MOREX.r3.1HG0062680,Cluster 2
HORVU.MOREX.r3.1HG0062770,Cluster 2
HORVU.MOREX.r3.1HG0063020,Cluster 2
HORVU.MOREX.r3.1HG0063550,Cluster 2
HORVU.MOREX.r3.1HG0063610,Cluster 2
HORVU.MOREX.r3.1HG0063930,Cluster 2
HORVU.MOREX.r3.1HG0064290,Cluster 2
HORVU.MOREX.r3.1HG0064340,Cluster 2
HORVU.MOREX.r3.1HG0064730,Cluster 2
HORVU.MOREX.r3.1HG0064920,Cluster 2
HORVU.MOREX.r3.1HG0065010,Cluster 2
HORVU.MOREX.r3.1HG0065530,Cluster 2
HORVU.MOREX.r3.1HG0065550,Cluster 2
HORVU.MOREX.r3.1HG0065600,Cluster 2
HORVU.MOREX.r3.1HG0066040,Cluster 2
HORVU.MOREX.r3.1HG0066180,Cluster 2
HORVU.MOREX.r3.1HG0066190,Cluster 2
HORVU.MOREX.r3.1HG0066210,Cluster 2
HORVU.MOREX.r3.1HG0066240,Cluster 2
HORVU.MOREX.r3.1HG0066250,Cluster 2
HORVU.MOREX.r3.1HG0066260,Cluster 2
HORVU.MOREX.r3.1HG0066390,Cluster 2
HORVU.MOREX.r3.1HG0066460,Cluster 2
HORVU.MOREX.r3.1HG0066600,Cluster 2
HORVU.MOREX.r3.1HG0067390,Cluster 2
HORVU.MOREX.r3.1HG0067550,Cluster 2
HORVU.MOREX.r3.1HG0067720,Cluster 2
HORVU.MOREX.r3.1HG0068100,Cluster 2
HORVU.MOREX.r3.1HG0068410,Cluster 2
HORVU.MOREX.r3.1HG0068480,Cluster 2
