Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.4HG0380790,1.432678035,5.488967917,4.47E-08,5.86E-06
HORVU.MOREX.r3.7HG0669660,1.538924302,4.662422895,4.59E-08,5.97E-06
HORVU.MOREX.r3.2HG0196540,1.471175199,6.744618373,5.07E-08,6.54E-06
HORVU.MOREX.r3.3HG0303310,3.015678393,1.886968343,5.21E-08,6.66E-06
HORVU.MOREX.r3.7HG0711070,1.571112415,4.492929757,5.42E-08,6.88E-06
HORVU.MOREX.r3.3HG0322070,1.901416313,3.608834676,5.79E-08,7.29E-06
HORVU.MOREX.r3.4HG0383630,1.774752687,3.878611266,6.04E-08,7.55E-06
HORVU.MOREX.r3.2HG0178080,-1.519299288,4.670080771,6.45E-08,7.99E-06
HORVU.MOREX.r3.6HG0629290,-2.020102259,3.347350836,7.01E-08,8.61E-06
HORVU.MOREX.r3.7HG0640720,1.399487631,5.834160835,7.56E-08,9.17E-06
HORVU.MOREX.r3.3HG0245610,1.399601288,5.886641162,7.58E-08,9.17E-06
HORVU.MOREX.r3.7HG0746540,-2.728732421,2.195013494,7.76E-08,9.32E-06
HORVU.MOREX.r3.1HG0079460,1.813362199,3.748416341,7.90E-08,9.42E-06
HORVU.MOREX.r3.7HG0744270,1.767034208,3.841566348,8.48E-08,1.00E-05
HORVU.MOREX.r3.6HG0540930,-2.211518787,2.958306528,9.53E-08,1.11E-05
HORVU.MOREX.r3.1HG0091390,1.482044708,4.750760035,9.54E-08,1.11E-05
HORVU.MOREX.r3.6HG0590970,1.416641258,6.507641024,9.89E-08,1.14E-05
HORVU.MOREX.r3.5HG0537360,-2.381801412,2.674994717,9.92E-08,1.14E-05
HORVU.MOREX.r3.7HG0702510,-2.204092656,2.956009967,1.08E-07,1.23E-05
HORVU.MOREX.r3.6HG0615560,1.382449423,5.609242866,1.12E-07,1.27E-05
HORVU.MOREX.r3.6HG0618950,1.40209489,6.416273077,1.15E-07,1.30E-05
HORVU.MOREX.r3.3HG0283700,1.786495475,3.749056449,1.16E-07,1.30E-05
HORVU.MOREX.r3.7HG0667240,-2.648021329,2.229708543,1.27E-07,1.40E-05
HORVU.MOREX.r3.6HG0559110,-1.503773242,4.571249837,1.27E-07,1.40E-05
HORVU.MOREX.r3.5HG0490490,1.43698847,6.89744452,1.34E-07,1.46E-05
HORVU.MOREX.r3.4HG0338620,2.339476119,2.692975444,1.44E-07,1.56E-05
HORVU.MOREX.r3.1HG0041280,-1.478661135,4.641715598,1.50E-07,1.62E-05
HORVU.MOREX.r3.6HG0590910,-1.411395573,5.037119351,1.52E-07,1.63E-05
HORVU.MOREX.r3.2HG0212840,1.994768388,3.285680311,1.54E-07,1.63E-05
HORVU.MOREX.r3.4HG0338640,3.150513845,1.534044501,1.61E-07,1.70E-05
HORVU.MOREX.r3.5HG0479040,1.362150391,5.873311811,1.62E-07,1.70E-05
HORVU.MOREX.r3.5HG0517040,1.361280942,6.023813699,1.74E-07,1.82E-05
HORVU.MOREX.r3.3HG0267290,1.357693007,5.9134889,1.79E-07,1.85E-05
HORVU.MOREX.r3.3HG0227360,-1.414140864,6.853672233,1.91E-07,1.96E-05
HORVU.MOREX.r3.7HG0686900,-1.385437019,5.142752942,1.96E-07,2.00E-05
HORVU.MOREX.r3.1HG0018050,-1.636884714,4.023888738,2.12E-07,2.15E-05
HORVU.MOREX.r3.6HG0623560,-1.359084369,6.230155167,2.15E-07,2.16E-05
HORVU.MOREX.r3.4HG0400780,1.356532397,6.182970311,2.16E-07,2.16E-05
HORVU.MOREX.r3.7HG0746660,1.395316264,4.963287495,2.54E-07,2.53E-05
HORVU.MOREX.r3.7HG0705460,-1.367653528,6.524264886,2.63E-07,2.60E-05
HORVU.MOREX.r3.1HG0051100,-2.251294737,2.735098277,2.69E-07,2.65E-05
HORVU.MOREX.r3.6HG0632070,1.335260373,6.014957464,2.90E-07,2.83E-05
HORVU.MOREX.r3.1HG0080920,1.392016742,4.936486905,2.93E-07,2.85E-05
HORVU.MOREX.r3.5HG0507470,1.409482639,4.809216896,3.02E-07,2.92E-05
HORVU.MOREX.r3.5HG0437580,1.901268834,3.350720588,3.22E-07,3.08E-05
HORVU.MOREX.r3.7HG0665380,1.322885884,5.613673301,3.63E-07,3.44E-05
HORVU.MOREX.r3.5HG0513740,-2.55253793,2.191139555,3.63E-07,3.44E-05
HORVU.MOREX.r3.5HG0473680,-1.321669567,6.005061659,3.74E-07,3.53E-05
HORVU.MOREX.r3.7HG0653970,1.868027465,3.39173512,3.90E-07,3.66E-05
HORVU.MOREX.r3.1HG0057580,2.03214333,3.070514426,3.96E-07,3.68E-05
HORVU.MOREX.r3.7HG0663990,1.368303497,4.975046076,4.01E-07,3.69E-05
HORVU.MOREX.r3.4HG0357240,-2.082197411,2.96587279,4.02E-07,3.69E-05
HORVU.MOREX.r3.1HG0004730,1.384218821,6.954540375,4.04E-07,3.69E-05
HORVU.MOREX.r3.1HG0018260,1.349821264,6.624883987,4.35E-07,3.91E-05
